order	sequence	thai	phonetic	description	short-description	set	level
198	1	ลืมอะไรเหรอ	lʉʉm à-rai rə̌ə	Did you forget something?  	Did you forget something?  	Super Useful Short Expressions, Part 11  	low-intermediate level
199	2	ลืมบอก(ไป)ว่า... lʉʉm bɔ̀ɔk	bpai	wâa... I forgot to tell you...  	wâa... I forgot to tell you...		
200	3	ผมจะไม่มีวันลืม	pǒm jà mâi mii wan lʉʉm	I will never forget! / I'll always remember!  	I will never forget! / I'll al		
201	4	จริงเหรอ	jing rə̌ə	Really?/ Seriously? 	Really?/ Seriously? 		
202	5	นี่คุณเมาหรือเปล่า	nîi kun mao rʉ̌ʉ-bplàao	Are you drunk?  	Are you drunk?  		
203	6	ไม่ไหวแล้ว	mâi-wǎi lɛ́ɛo	I can't take it anymore! / I can't stand this anymore! / I can't do this anymore!  	I can't take it anymore! / I c		
204	7	ใจเย็นๆ	jai yen-yen	Relax. / Calm Down. / Take it easy.  	Relax. / Calm Down. / Take it 		
205	8	ทำไปได้ยังไง	tam bpai dâi yang-ngai	How could you do that?!  	How could you do that?!  		
206	9	ผมคิดว่า...	pǒm kít wâa...	I think...  	I think...  		
207	10	ผมว่า...	pǒm wâa...	INFORMAL I think... 	INFORMAL I think... 		
208	11	มันไม่ง่าย	man mâi ngâai	It's not easy. / It won't be easy.  	It's not easy. / It won't be e		
209	12	อย่าเข้ามานะ	yàa kâo maa ná	Don't come any closer. / Don't come in here.  	Don't come any closer. / Don't		
210	13	ไปให้พ้น	bpai hâi pón	Get lost. / Get out of here. / Go away!  	Get lost. / Get out of here. /		
211	14	โกรธเหรอ	gròot rə̌ə	Are you angry? 	Are you angry? 		
212	15	จะพยายาม	jà pá-yaa-yaam	I'll try. 	I'll try. 		
213	16	ช่วยด้วย	chûai-dûai	Help me! / Help! 	Help me! / Help! 		
214	17	แน่ใจนะว่า...	nɛ̂ɛ-jai ná wâa...	Are you sure (that)...?  	Are you sure (that)...?  		
215	18	ผมไม่รู้ / ผมไม่ทราบ	pǒm mâi rúu / pǒm mâi sâap	I don't know. [Note: ทราบ (sâap) is more formal]  	I don't know. [Note: ทราบ (sâa		
216	19	อย่ามอง	yàa mɔɔng	Don't look.  	Don't look.  		
217	20	ไม่เกี่ยวกับคุณ	mâi gìao gàp kun	It's none of your business. / It's not about you. / It's no concern of yours.  	It's none of your business. / 		
218	1	ไม่ต้องกลัว	mâi dtɔ̂ng glua	No need to be afraid. / Don't worry. / Don't be scared.  	No need to be afraid. / Don't 	Super Useful Short Expressions, Part 12  	low-intermediate level
219	2	อย่าลืมวันเกิดผม	yàa lʉʉm wan-gə̀ət pǒm	Don't forget my birthday. 	Don't forget my birthday. 		
220	3	ฉันจำวันเกิดของคุณได้	chǎn jam wan-gə̀ət kɔ̌ɔng kun dâi	I remember when your birthday is. / I can remember when your birthday is.  	I remember when your birthday 		
221	4	หมดอายุแล้ว	mòt aa-yú lɛ́ɛo	It's expired. / It's reached its expiration date.  	It's expired. / It's reached i		
222	5	เข้มงวดมาก	kêm-ngûat mâak	She's so strict! / It's very strict.  	She's so strict! / It's very s		
223	6	พูดอะไรอย่างงั้น INFORMAL	pûut à-rai yàang-ngán	What are you talking about?! (Are you kidding?!)	What are you talking about?! (		
224	7	(มัน)ไม่จริง(หรอก)	man	mâi jing (rɔ̀ɔk) That's not true (at all).  	mâi jing (rɔ̀ɔk) That's not tr		
225	8	ไม่เคยมาที่นี่	mâi kəəi maa tîi-nîi	I've never been here (before).  	I've never been here (before).		
226	9	เคยได้ยินมา	kəəi dâi-yin maa	I've heard it before.  	I've heard it before.  		
227	10	ทำอาหารไม่เป็น(เลย) tam-aa-hǎan mâi-bpen	ləəi	I can't cook (at all).  	I can't cook (at all).  		
228	11	ทำอะไรไม่ได้	tam à-rai mâi-dâi	(I) can't do anything. / There's nothing I can do.  	(I) can't do anything. / There		
229	12	ไม่รู้ว่าทำไม	mâi rúu wâa tam-mai	I don't know why.  	I don't know why.  		
230	13	ไม่เข้าใจว่าทำไม	mâi kâo-jai wâa tam-mai	I don't understand why.  	I don't understand why.  		
231	14	บอกตามตรง...	bɔ̀ɔk dtaam-dtrong	To be honest... / I'll be honest with you... / Honestly...  	To be honest... / I'll be hone		
232	15	ดีใจที่ได้คุยกัน	dii-jai tîi dâi kui-gan	Nice talking to you. / It was nice talking with you. 	Nice talking to you. / It was 		
233	16	ดีใจที่ได้พบกัน	dii-jai tîi dâi pop-gan	It was nice meeting you.  	It was nice meeting you.  		
234	17	ดึกแล้ว	dʉ̀k lɛ́ɛo	It's (getting) late. / It's really late. 	It's (getting) late. / It's re		
235	18	หยุดเดี๋ยวนี้	yùt dǐao-níi	Stop it! / Stop!  	Stop it! / Stop!  		
236	19	แปลว่าอะไร(คะ) bplɛ̀ɛ wâa à-rai	ká	What does (it) mean? / What does (this) mean?  	What does (it) mean? / What do		
237	20	แปลว่า...	bplɛ̀ɛ wâa...	That/it means...  	That/it means...  		
238	1	แยกไม่ออก	yɛ̂ɛk-mâi-ɔ̀ɔk	I can't tell them apart. / I can't see the difference (between them).  	I can't tell them apart. / I c	Super Useful Short Expressions, Part 13   	low-intermediate level
239	2	แทบไม่เชื่อสายตา	tɛ̂ɛp mâi-chʉ̂a sǎai-dtaa	I could hardly believe my eyes!  	I could hardly believe my eyes		
240	3	ยินดีช่วยเหลือ	yin-dii chûai-lʉ̌a	Happy to help. / Glad to be of assistance.  	Happy to help. / Glad to be of		
241	4	จะอยู่ได้ยังไงถ้าไม่มีเขา	jà yùu dâi yang-ngai tâa mâi mii kǎo	How will I live/survive without him?  	How will I live/survive withou		
242	5	ช่วยเซ็น(ชื่อ)ตรงนี้หน่อย(ครับ/ค่ะ) chûai sen	chʉ̂ʉ	dtrong-níi nɔ̀i (kráp/kà) Please sign here.  	dtrong-níi nɔ̀i (kráp/kà) Plea		
243	6	พอกันที	pɔɔ-gan tii	(That's) enough! / I've had enough!  	(That's) enough! / I've had en		
244	7	น่าสมเพชจริงๆ SEMI-LITERARY	nâa-sǒm-pêet jing-jing	How pathetic! / How pitiful!  	How pathetic! / How pitiful!  		
245	8	ไม่เป็นอะไรหรอก	mâi bpen-à-rai rɔ̀ɔk	She'll be okay. / Nothing's going to happen to her. / It'll be alright.  	She'll be okay. / Nothing's go		
246	9	เหมือนเป็นคนละคนเลย	mʉ̌an bpen kon-lá kon ləəi	She's like a completely different person. 	She's like a completely differ		
247	10	ในสายตาผม...	nai sǎai-dtaa pǒm...	In my eyes... / From my point of view... / To me... / (You don't look...) to me. 	In my eyes... / From my point 		
248	11	หากต้องการข้อมูลเพิ่มเติม... FORMAL	hàak dtɔ̂ng-gaan kɔ̂ɔ-muun pə̂əm-dtəəm...	For more information... / If you need further information...  	For more information... / If y		
249	12	ผมก็ไม่ว่า(อะไร) pǒm gɔ̂ɔ mâi-wâa	à-rai	It's fine with me. / Feel free. / I don't mind. (if you do it)  	It's fine with me. / Feel free		
250	13	ทีแรกคิดว่า...	tii-rɛ̂ɛk kít-wâa...	At first I thought...  	At first I thought...  		
251	14	คงไม่หรอก	kong mâi rɔ̀ɔk	It's not likely. / I don't think so. / Probably not.  	It's not likely. / I don't thi		
252	15	ไม่ใช่เรื่องบังเอิญ	mâi-châi rʉ̂ang bang-əən	It's not a coincidence. / It's not just by chance.  	It's not a coincidence. / It's		
253	16	ถ้ายังงั้น...	tâa yang-ngán...	In that case... / So... / Well then...  	In that case... / So... / Well		
254	17	ทุกอย่างเปลี่ยนไป	túk-yàang bplìan bpai	Everything has changed. / Everything is different. / Everything changes.  	Everything has changed. / Ever		
255	18	มันทำใจลำบาก	man tam-jai lam-bàak	It's really hard! / This is really hard on me! (breaking up with someone, etc.)  	It's really hard! / This is re		
256	19	คุณทำเพื่ออะไร	kun tam pʉ̂a-à-rai	What did you do it for? / Why did you do it?  Note: เพื่ออะไร (pʉ̂a-à-rai) means 'for what reason' or 'why'.  	What did you do it for? / Why 		
257	20	จ(เขา)ได้ไหม jam	kǎo	dâi mǎi Do you remember (him)? 	dâi mǎi Do you remember (him)?		
258	1	ไม่เชื่อหรอก	mâi chʉ̂a rɔ̀ɔk	I don't believe it! / I don't believe you!  	I don't believe it! / I don't 	Super Useful Short Expressions, Part 14  	low-intermediate level
259	2	อย่าไปเชื่อ(...) yàa bpai chʉ̂a(...) Don't believe it/him! / Don't believe...  					
260	3	จะไม่มีใครเชื่อ	jà mâi mii krai chʉ̂a...	No one's gonna believe you! / No one would believe you!  	No one's gonna believe you! / 		
261	4	ผมจัดการเอง	pǒm jàt-gaan eeng	I'll take care of it myself. / I'll do it myself. 	I'll take care of it myself. /		
262	5	แค่อยากให้คุณรู้ว่า...	kɛ̂ɛ yàak hâi kun rúu wâa...	I just want you to know...  	I just want you to know...  		
263	6	มีโอกาส(สูง)มากที่... mii oo-gàat	sǔung	mâak tîi... There's a good/great chance that... / It's very likely that...  	mâak tîi... There's a good/gre		
264	7	อย่ารู้เลย	yàa rúu ləəi	It's better if you don't know. / You don't wanna know! 	It's better if you don't know.		
265	8	...อะไรประมาณนี้	...à-rai bprà-maan nií	...(or)something (like that).  	something like that ...		
266	9	มาพอดีเลย	maa pɔɔ-dii ləəi	You're just in time. / Speak of the devilhere she is/comes.  	You're just in time. / Speak o		
267	10	ตกลง... INTERJECTION	dtòk-long...	So... / Okay... / Alright... (like 'Tell me...' when making a decision/conclusion)  11) ฉันยกโทษให้ (chǎn yók-tôot-hâi)I forgive you.  	So... / Okay... / Alright... (		
268	12	คุณก็รู้ว่าผมคิดยังไง	kun gɔ̂ɔ rúu wâa pǒm kít yang-ngai	You know how I feel (about you). 	You know how I feel (about you		
269	13	ไม่ต้องก็ได้	mâi-dtɔ̂ng gɔ̂ɔ-dâi	You don't have to. / No need to. / Don't bother.  	You don't have to. / No need t		
270	14	ไม่รู้จะซื้ออะไรดี	mâi-rúu jà sʉ́ʉ à-rai dii	I don't what to buy. / I don't know what I should buy.  	I don't what to buy. / I don't		
271	15	ทั้งวันทั้งคืน	táng wan táng kʉʉn	All day and all night / Night and day / Day and night  	All day and all night / Night 		
272	16	อย่าลืมซื้อของฝาก	yàa lʉʉm sʉ́ʉ-kɔ̌ɔng fàak	Don't forget to buy me something. / Don't forget to buy me a souvenir.  	Don't forget to buy me somethi		
273	17	เพราะฉันใช่ไหม	prɔ́ chǎn châi-mǎi	Because of me, right? / Because of me?  	Because of me, right? / Becaus		
274	18	เทียบไม่ได้เลย / เทียบไม่ได้กับ...	tîap mâi-dâi ləəi / tîap mâi-dâi gàp...	It doesn't compare at all. / I'm no match for (him). / That's nothing compared to...  	It doesn't compare at all. / I		
275	19	คุณไม่มีสิทธิ์...	kun mâi mii sìt...	You have no right to... / You can't just...  	You have no right to... / You 		
276	20	ไม่อยากเชื่อเลย	mâi yàak chʉ̂a ləəi	Unbelievable! / It's unbelievable.  	Unbelievable! / It's unbelieva		
277	1	อย่าทำแบบนี้	yàa tam bɛ̀ɛp-níi	Don't do this. 	Don't do this. 	Super Useful Short Expressions, Part 15   	high-beginner level
278	2	อย่าทำแบบนั้น	yàa tam bɛ̀ɛp-nán	Don't do that.  	Don't do that.  		
279	3	อย่าทำแบบนี้กับฉัน	yàa tam bɛ̀ɛp-níi gàp chǎn	Don't do this to me.  	Don't do this to me.  		
280	4	อย่าทำแบบนี้อีก	yàa tam bɛ̀ɛp-níi ìik	Don't do it again. 	Don't do it again. 		
281	5	เงียบมาก	ngîap mâak	It's so quiet!  	It's so quiet!  		
282	6	เสียงดังมาก	sǐang-dang mâak	It's so loud!  	It's so loud!  		
283	7	โชคดีนะ(ค่ะ/ครับ) chôok-dii ná	kà / kráp	Good luck. / Take care.  	Good luck. / Take care.  		
284	8	ขอบใจ	kɔ̀ɔp-jai	Thanks. (use older to younger or between close friends)  	Thanks. (use older to younger 		
285	9	ออกไป	ɔ̀ɔk bpai	Get out of here! / Get out!  	Get out of here! / Get out!  		
286	10	ไม่ต้องพูด	mâi dtɔ̂ng pûut	Don't tell me (about it). / No need to mention that.  	Don't tell me (about it). / No		
287	11	ไม่อยากฟัง	mâi yàak fang	I don't wanna hear (it). 	I don't wanna hear (it). 		
288	12	เป็นไปไม่ได้	bpen-bpai mâi-dâi	Impossible!; That's impossible!  	Impossible!; That's impossible		
289	13	เขาเป็นเพื่อนฉัน	kǎo bpen pʉ̂an chǎn	He's my friend. 	He's my friend. 		
290	14	นี่ไง	nîi ngai	Here it is. 	Here it is. 		
291	15	นี่ครับ/ค่ะ	nîi kráp / nîi kà	Here you are. (hands something to the listener)  	Here you are. (hands something		
292	16	ยินดีเสมอ	yin-dii sà-mə̌ə	My pleasure. / You're more than welcome. / It's always a pleasure.  	My pleasure. / You're more tha		
293	17	มีเงินเก็บ	mii ngən-gèp	I have some money saved up.  	I have some money saved up.  		
294	18	ปกติแล้ว...	bpòk-gà-dtì lɛ́ɛo...	Normally... / Usually... / Generally... / Typically...  	Normally... / Usually... / Gen		
295	19	ไม่ต้องทอนนะ	mâi-dtɔ̂ng tɔɔn ná	Keep the change.  	Keep the change.  		
296	20	รับอะไรเพิ่มไหม	ráp à-rai pə̂əm mǎi	Would you like anything else?  	Would you like anything else? 		
297	1	ทำไม่เป็น	tam mâi-bpen	I don't know how (to do it).  	I don't know how (to do it).  	Super Useful Short Expressions, Part 16  	low-intermediate level
298	2	มีอะไรหรือเปล่า INFORMAL	mii à-rai rʉ̌ʉ-bplàao	What's the matter? / What's up? / What is it?  	What's the matter? / What's up		
299	3	เป็นอะไรของคุณ INFORMAL	bpen-à-rai kɔ̌ɔng kun	What's wrong with you?! / What happened to you?! / What's your problem?!  	What's wrong with you?! / What		
300	4	จะให้ผมทำยังไง	jà hâi pǒm tam yang-ngai	What do you want me to do? 	What do you want me to do? 		
301	5	เขารับไม่ได้	kǎo ráp mâi-dâi	She can't accept it. / She can't handle it. / She can't live with it.  	She can't accept it. / She can		
302	6	ไม่รู้ได้ยังไง INFORMAL	mâi rúu dâi yang-ngai	How could you not know? 	How could you not know? 		
303	7	ก็ยังดีกว่า...	gɔ̂ɔ yang dii gwàa...	Well, that's (still) better than... / It beats...  	Well, that's (still) better th		
304	8	(แล้ว)จะเอายังไงต่อ	lɛ́ɛo	jà ao yang-ngai dtɔ̀ɔ (So) what now? / (So) what do we do now? / Now what?  	jà ao yang-ngai dtɔ̀ɔ (So) wha		
